date,department,type,category,amount
2024-05-15,Marketing,Spending,Ad Campaign,112362.45
2024-05-10,HR,Income,Training Refund,205244.2
2024-05-15,HR,Spending,Salaries & Benefits,125481.89
2024-05-10,Operations,Income,Service Revenue,150161.37
2024-05-15,Operations,Spending,Utilities & Supplies,128446.43
2024-05-10,IT,Income,License Resale,68019.42
2024-05-15,IT,Spending,Software & Hardware,48883.15
2024-05-10,Finance,Income,Investment Return,61042.9
2024-05-15,Finance,Spending,Audit & Compliance,63060.63
2024-06-10,Sales,Income,Product Sales,108301.59
2024-06-15,Sales,Spending,Travel & Commission,56305.7
2024-06-10,Marketing,Income,Sponsorship,174310.63
2024-06-15,Marketing,Spending,Ad Campaign,65529.36
2024-06-10,HR,Income,Training Refund,92140.18
2024-06-15,HR,Spending,Salaries & Benefits,85611.18
2024-06-10,Operations,Income,Service Revenue,71138.63
2024-06-15,Operations,Spending,Utilities & Supplies,113637.27
2024-06-10,IT,Income,License Resale,61182.6
2024-06-15,IT,Spending,Software & Hardware,133583.79
2024-06-10,Finance,Income,Investment Return,165836.72
2024-06-15,Finance,Spending,Audit & Compliance,48461.29
2024-07-10,Sales,Income,Product Sales,47016.19
2024-07-15,Sales,Spending,Travel & Commission,116782.77
2024-07-10,Marketing,Income,Sponsorship,144326.46
2024-07-15,Marketing,Spending,Ad Campaign,107306.72
2024-07-10,HR,Income,Training Refund,153263.76
2024-07-15,HR,Spending,Salaries & Benefits,35517.79
2024-07-10,Operations,Income,Service Revenue,95987.12
2024-07-15,Operations,Spending,Utilities & Supplies,40102.06
2024-07-10,IT,Income,License Resale,166005.6
2024-07-15,IT,Spending,Software & Hardware,95720.19
2024-07-10,Finance,Income,Investment Return,92162.1
2024-07-15,Finance,Spending,Audit & Compliance,34368.41
2024-08-10,Sales,Income,Product Sales,84092.49
2024-08-15,Sales,Spending,Travel & Commission,65570.9
2024-08-10,Marketing,Income,Sponsorship,138728.94
2024-08-15,Marketing,Spending,Ad Campaign,101181.55
2024-08-10,HR,Income,Training Refund,159298.87
2024-08-15,HR,Spending,Salaries & Benefits,82332.5
2024-08-10,Operations,Income,Service Revenue,59113.58
2024-08-15,Operations,Spending,Utilities & Supplies,109809.91
2024-08-10,IT,Income,License Resale,142798.24
2024-08-15,IT,Spending,Software & Hardware,92485.6
2024-08-10,Finance,Income,Investment Return,144127.15
2024-08-15,Finance,Spending,Audit & Compliance,84792.7
2024-09-10,Sales,Income,Product Sales,109148.44
2024-09-15,Sales,Spending,Travel & Commission,81304.92
2024-09-10,Marketing,Income,Sponsorship,45740.94
2024-09-15,Marketing,Spending,Ad Campaign,42946.97
2024-09-10,HR,Income,Training Refund,46507.22
2024-09-15,HR,Spending,Salaries & Benefits,106369.25
2024-09-10,Operations,Income,Service Revenue,82580.39
2024-09-15,Operations,Spending,Utilities & Supplies,91028.48
2024-09-10,IT,Income,License Resale,158214.73
2024-09-15,IT,Spending,Software & Hardware,59915.07
2024-09-10,Finance,Income,Investment Return,94823.82
2024-09-15,Finance,Spending,Audit & Compliance,120666.14
2024-10-10,Sales,Income,Product Sales,73366.27
2024-10-15,Sales,Spending,Travel & Commission,41199.47
2024-10-10,Marketing,Income,Sponsorship,81321.55
2024-10-15,Marketing,Spending,Ad Campaign,51813.88
2024-10-10,HR,Income,Training Refund,164843.77
2024-10-15,HR,Spending,Salaries & Benefits,133323.17
2024-10-10,Operations,Income,Service Revenue,126173.14
2024-10-15,Operations,Spending,Utilities & Supplies,141304.03
2024-10-10,IT,Income,License Resale,148395.61
2024-10-15,IT,Spending,Software & Hardware,55007.83
2024-10-10,Finance,Income,Investment Return,159996.64
2024-10-15,Finance,Spending,Audit & Compliance,99457.12
2024-11-10,Sales,Income,Product Sales,158282.32
2024-11-15,Sales,Spending,Travel & Commission,149441.49
2024-11-10,Marketing,Income,Sponsorship,90372.98
2024-11-15,Marketing,Spending,Ad Campaign,46948.0
2024-11-10,HR,Income,Training Refund,77876.0
2024-11-15,HR,Spending,Salaries & Benefits,88289.65
2024-11-10,Operations,Income,Service Revenue,159749.55
2024-11-15,Operations,Spending,Utilities & Supplies,144830.72
2024-11-10,IT,Income,License Resale,47214.61
2024-11-15,IT,Spending,Software & Hardware,99195.59
2024-11-10,Finance,Income,Investment Return,104165.78
2024-11-15,Finance,Spending,Audit & Compliance,61559.23
2024-12-10,Sales,Income,Product Sales,67979.81
2024-12-15,Sales,Spending,Travel & Commission,77565.2
2024-12-10,Marketing,Income,Sponsorship,191436.46
2024-12-15,Marketing,Spending,Ad Campaign,75662.79
2024-12-10,HR,Income,Training Refund,127818.59
2024-12-15,HR,Spending,Salaries & Benefits,125798.5
2024-12-10,Operations,Income,Service Revenue,104544.44
2024-12-15,Operations,Spending,Utilities & Supplies,161275.23
2024-12-10,IT,Income,License Resale,194367.09
2024-12-15,IT,Spending,Software & Hardware,66235.26
2024-12-10,Finance,Income,Investment Return,124587.28
2024-12-15,Finance,Spending,Audit & Compliance,72715.94
2025-01-10,Sales,Income,Product Sales,99680.53
2025-01-15,Sales,Spending,Travel & Commission,37407.85
2025-01-10,Marketing,Income,Sponsorship,152042.25
2025-01-15,Marketing,Spending,Ad Campaign,98143.55
2025-01-10,HR,Income,Training Refund,62050.95
2025-01-15,HR,Spending,Salaries & Benefits,68931.43
2025-01-10,Operations,Income,Service Revenue,200207.87
2025-01-15,Operations,Spending,Utilities & Supplies,63835.1
2025-01-10,IT,Income,License Resale,77114.3
2025-01-15,IT,Spending,Software & Hardware,96418.95
2025-01-10,Finance,Income,Investment Return,212686.14
2025-01-15,Finance,Spending,Audit & Compliance,64160.22
2025-02-10,Sales,Income,Product Sales,170412.47
2025-02-15,Sales,Spending,Travel & Commission,127464.07
2025-02-10,Marketing,Income,Sponsorship,96771.33
2025-02-15,Marketing,Spending,Ad Campaign,123255.26
2025-02-10,HR,Income,Training Refund,118829.12
2025-02-15,HR,Spending,Salaries & Benefits,111170.53
2025-02-10,Operations,Income,Service Revenue,163869.34
2025-02-15,Operations,Spending,Utilities & Supplies,99007.61
2025-02-10,IT,Income,License Resale,71798.0
2025-02-15,IT,Spending,Software & Hardware,136748.11
2025-02-10,Finance,Income,Investment Return,110862.78
2025-02-15,Finance,Spending,Audit & Compliance,55001.33
2025-03-10,Sales,Income,Product Sales,64533.71
2025-03-15,Sales,Spending,Travel & Commission,100907.15
2025-03-10,Marketing,Income,Sponsorship,174379.85
2025-03-15,Marketing,Spending,Ad Campaign,31990.54
2025-03-10,HR,Income,Training Refund,145836.05
2025-03-15,HR,Spending,Salaries & Benefits,57179.49
2025-03-10,Operations,Income,Service Revenue,168792.31
2025-03-15,Operations,Spending,Utilities & Supplies,50923.97
2025-03-10,IT,Income,License Resale,176686.76
2025-03-15,IT,Spending,Software & Hardware,76408.24
2025-03-10,Finance,Income,Investment Return,219085.92
2025-03-15,Finance,Spending,Audit & Compliance,46502.51
2025-04-10,Sales,Income,Product Sales,114301.02
2025-04-15,Sales,Spending,Travel & Commission,41435.98
2025-04-10,Marketing,Income,Sponsorship,213217.42
2025-04-15,Marketing,Spending,Ad Campaign,128516.69
2025-04-10,HR,Income,Training Refund,100212.57
2025-04-15,HR,Spending,Salaries & Benefits,103738.18
2025-04-10,Operations,Income,Service Revenue,195002.56
2025-04-15,Operations,Spending,Utilities & Supplies,91792.89
2025-04-10,IT,Income,License Resale,146263.32
2025-04-15,IT,Spending,Software & Hardware,56071.16
2025-04-10,Finance,Income,Investment Return,72274.77
2025-04-15,Finance,Spending,Audit & Compliance,130782.6
2025-05-10,Sales,Income,Product Sales,198942.41
2025-05-15,Sales,Spending,Travel & Commission,96794.72
2025-05-10,Marketing,Income,Sponsorship,108418.55
2025-05-15,Marketing,Spending,Ad Campaign,65677.98
2025-05-10,HR,Income,Training Refund,170810.35
2025-05-15,HR,Spending,Salaries & Benefits,125732.11
2025-05-10,Operations,Income,Service Revenue,196792.69
2025-05-15,Operations,Spending,Utilities & Supplies,112882.28
2025-05-10,IT,Income,License Resale,157277.6
2025-05-15,IT,Spending,Software & Hardware,36624.31
2025-05-10,Finance,Income,Investment Return,79812.63
2025-05-15,Finance,Spending,Audit & Compliance,125890.38
2025-06-10,Sales,Income,Product Sales,140964.36
2025-06-15,Sales,Spending,Travel & Commission,27993.28
2025-06-10,Marketing,Income,Sponsorship,65220.73
2025-06-15,Marketing,Spending,Ad Campaign,98658.19
2025-06-10,HR,Income,Training Refund,50759.24
2025-06-15,HR,Spending,Salaries & Benefits,44367.27
2025-06-10,Operations,Income,Service Revenue,132310.07
2025-06-15,Operations,Spending,Utilities & Supplies,101724.68
2025-06-10,IT,Income,License Resale,147794.19
2025-06-15,IT,Spending,Software & Hardware,51221.09
2025-06-10,Finance,Income,Investment Return,156826.88
2025-06-15,Finance,Spending,Audit & Compliance,52622.9
2025-07-10,Sales,Income,Product Sales,91399.21
2025-07-15,Sales,Spending,Travel & Commission,109223.13
2025-07-10,Marketing,Income,Sponsorship,136386.56
2025-07-15,Marketing,Spending,Ad Campaign,120483.34
2025-07-10,HR,Income,Training Refund,137493.79
2025-07-15,HR,Spending,Salaries & Benefits,89692.92
2025-07-10,Operations,Income,Service Revenue,59247.37
2025-07-15,Operations,Spending,Utilities & Supplies,67706.41
2025-07-10,IT,Income,License Resale,83046.83
2025-07-15,IT,Spending,Software & Hardware,54145.07
2025-07-10,Finance,Income,Investment Return,181255.21
2025-07-15,Finance,Spending,Audit & Compliance,70488.46
2025-08-10,Sales,Income,Product Sales,159929.76
2025-08-15,Sales,Spending,Travel & Commission,100449.8
2025-08-10,Marketing,Income,Sponsorship,147239.15
2025-08-15,Marketing,Spending,Ad Campaign,85800.63
2025-08-10,HR,Income,Training Refund,118799.09
2025-08-15,HR,Spending,Salaries & Benefits,84647.02
2025-08-10,Operations,Income,Service Revenue,68986.84
2025-08-15,Operations,Spending,Utilities & Supplies,110859.54
2025-08-10,IT,Income,License Resale,80149.65
2025-08-15,IT,Spending,Software & Hardware,31272.02
2025-08-10,Finance,Income,Investment Return,127748.26
2025-08-15,Finance,Spending,Audit & Compliance,48690.62
2025-09-10,Sales,Income,Product Sales,162408.47
2025-09-15,Sales,Spending,Travel & Commission,144471.43
2025-09-10,Marketing,Income,Sponsorship,159145.21
2025-09-15,Marketing,Spending,Ad Campaign,74419.04
2025-09-10,HR,Income,Training Refund,44470.72
2025-09-15,HR,Spending,Salaries & Benefits,141398.23
2025-09-10,Operations,Income,Service Revenue,97093.48
2025-09-15,Operations,Spending,Utilities & Supplies,145998.58
2025-09-10,IT,Income,License Resale,165361.55
2025-09-15,IT,Spending,Software & Hardware,132361.13
2025-09-10,Finance,Income,Investment Return,80042.23
2025-09-15,Finance,Spending,Audit & Compliance,76211.73
2025-10-10,Sales,Income,Product Sales,154590.43
2025-10-15,Sales,Spending,Travel & Commission,71432.17
2025-10-10,Marketing,Income,Sponsorship,65626.06
2025-10-15,Marketing,Spending,Ad Campaign,101656.96
2025-10-10,HR,Income,Training Refund,165686.51
2025-10-15,HR,Spending,Salaries & Benefits,119199.75
2025-10-10,Operations,Income,Service Revenue,117906.02
2025-10-15,Operations,Spending,Utilities & Supplies,43744.24
2025-10-10,IT,Income,License Resale,123772.13
2025-10-15,IT,Spending,Software & Hardware,156246.79
2025-10-10,Finance,Income,Investment Return,61787.79
2025-10-15,Finance,Spending,Audit & Compliance,96809.54
2025-11-10,Sales,Income,Product Sales,167985.51
2025-11-15,Sales,Spending,Travel & Commission,129188.6
2025-11-10,Marketing,Income,Sponsorship,142960.93
2025-11-15,Marketing,Spending,Ad Campaign,124196.6
2025-11-10,HR,Income,Training Refund,96129.4
2025-11-15,HR,Spending,Salaries & Benefits,70880.19
2025-11-10,Operations,Income,Service Revenue,158548.86
2025-11-15,Operations,Spending,Utilities & Supplies,138230.63
2025-11-10,IT,Income,License Resale,166556.28
2025-11-15,IT,Spending,Software & Hardware,151677.62
2025-11-10,Finance,Income,Investment Return,117198.76
2025-11-15,Finance,Spending,Audit & Compliance,97991.94
2025-12-10,Sales,Income,Product Sales,169744.28
2025-12-15,Sales,Spending,Travel & Commission,118795.24
2025-12-10,Marketing,Income,Sponsorship,155295.03
2025-12-15,Marketing,Spending,Ad Campaign,138044.63
2025-12-10,HR,Income,Training Refund,183500.8
2025-12-15,HR,Spending,Salaries & Benefits,77615.36
2025-12-10,Operations,Income,Service Revenue,106337.44
2025-12-15,Operations,Spending,Utilities & Supplies,45405.62
2025-12-10,IT,Income,License Resale,136742.02
2025-12-15,IT,Spending,Software & Hardware,37744.38
2025-12-10,Finance,Income,Investment Return,119839.7
2025-12-15,Finance,Spending,Audit & Compliance,104629.09
2026-01-10,Sales,Income,Product Sales,99954.78
2026-01-15,Sales,Spending,Travel & Commission,109638.19
2026-01-10,Marketing,Income,Sponsorship,58668.17
2026-01-15,Marketing,Spending,Ad Campaign,37467.99
2026-01-10,HR,Income,Training Refund,186394.34
2026-01-15,HR,Spending,Salaries & Benefits,79564.16
2026-01-10,Operations,Income,Service Revenue,74238.51
2026-01-15,Operations,Spending,Utilities & Supplies,100694.58
2026-01-10,IT,Income,License Resale,177911.46
2026-01-15,IT,Spending,Software & Hardware,60739.48
2026-01-10,Finance,Income,Investment Return,154191.09
2026-01-15,Finance,Spending,Audit & Compliance,43726.73
2026-02-10,Sales,Income,Product Sales,65254.5
2026-02-15,Sales,Spending,Travel & Commission,98450.68
2026-02-10,Marketing,Income,Sponsorship,148125.04
2026-02-15,Marketing,Spending,Ad Campaign,111816.17
2026-02-10,HR,Income,Training Refund,179557.2
2026-02-15,HR,Spending,Salaries & Benefits,154457.36
2026-02-10,Operations,Income,Service Revenue,144000.65
2026-02-15,Operations,Spending,Utilities & Supplies,72192.52
2026-02-10,IT,Income,License Resale,191267.78
2026-02-15,IT,Spending,Software & Hardware,65624.86
2026-02-10,Finance,Income,Investment Return,130894.51
2026-02-15,Finance,Spending,Audit & Compliance,41385.5
2026-03-10,Sales,Income,Product Sales,61873.0
2026-03-15,Sales,Spending,Travel & Commission,145517.81
2026-03-10,Marketing,Income,Sponsorship,201706.57
2026-03-15,Marketing,Spending,Ad Campaign,113516.9
2026-03-10,HR,Income,Training Refund,128044.38
2026-03-15,HR,Spending,Salaries & Benefits,50795.32
2026-03-10,Operations,Income,Service Revenue,84485.39
2026-03-15,Operations,Spending,Utilities & Supplies,60029.15
2026-03-10,IT,Income,License Resale,152241.6
2026-03-15,IT,Spending,Software & Hardware,115751.51
2026-03-10,Finance,Income,Investment Return,171384.05
2026-03-15,Finance,Spending,Audit & Compliance,63592.07
2026-04-10,Sales,Income,Product Sales,218331.08
2026-04-15,Sales,Spending,Travel & Commission,112620.25
2026-04-10,Marketing,Income,Sponsorship,150450.2
2026-04-15,Marketing,Spending,Ad Campaign,98236.17
2026-04-10,HR,Income,Training Refund,127611.35
2026-04-15,HR,Spending,Salaries & Benefits,56741.33
2026-04-10,Operations,Income,Service Revenue,116827.42
2026-04-15,Operations,Spending,Utilities & Supplies,114894.46
2026-04-10,IT,Income,License Resale,58934.68
2026-04-15,IT,Spending,Software & Hardware,41732.28
2026-04-10,Finance,Income,Investment Return,64291.97
2026-04-15,Finance,Spending,Audit & Compliance,33143.08
2026-05-10,Sales,Income,Product Sales,191693.02
2026-05-15,Sales,Spending,Travel & Commission,104528.24
2026-05-10,Marketing,Income,Sponsorship,130210.53
2026-05-15,Marketing,Spending,Ad Campaign,38125.3
2026-05-10,HR,Income,Training Refund,133023.06
2026-05-15,HR,Spending,Salaries & Benefits,79298.07
2026-05-10,Operations,Income,Service Revenue,81678.8
2026-05-15,Operations,Spending,Utilities & Supplies,74955.4
2026-05-10,IT,Income,License Resale,118008.89
2026-05-15,IT,Spending,Software & Hardware,94903.83
2026-05-10,Finance,Income,Investment Return,156158.85
2026-05-15,Finance,Spending,Audit & Compliance,32367.59
2026-06-10,Sales,Income,Product Sales,106191.89
2026-06-15,Sales,Spending,Travel & Commission,94592.87
2026-06-10,Marketing,Income,Sponsorship,125470.44
2026-06-15,Marketing,Spending,Ad Campaign,119500.9
2026-06-10,HR,Income,Training Refund,148804.04
2026-06-15,HR,Spending,Salaries & Benefits,44596.92
2026-06-10,Operations,Income,Service Revenue,60585.31
2026-06-15,Operations,Spending,Utilities & Supplies,96381.28
2026-06-10,IT,Income,License Resale,53976.7
2026-06-15,IT,Spending,Software & Hardware,90263.76
2026-06-10,Finance,Income,Investment Return,191034.54
2026-06-15,Finance,Spending,Audit & Compliance,89151.21
2026-07-10,Sales,Income,Product Sales,100108.58
2026-07-15,Sales,Spending,Travel & Commission,97911.26
2026-07-10,Marketing,Income,Sponsorship,109832.59
2026-07-15,Marketing,Spending,Ad Campaign,87205.72
2026-07-10,HR,Income,Training Refund,176878.24
2026-07-15,HR,Spending,Salaries & Benefits,69721.74
2026-07-10,Operations,Income,Service Revenue,179615.19
2026-07-15,Operations,Spending,Utilities & Supplies,126635.32
2026-07-10,IT,Income,License Resale,73416.02
2026-07-15,IT,Spending,Software & Hardware,35004.46
2026-07-10,Finance,Income,Investment Return,60232.95
2026-07-15,Finance,Spending,Audit & Compliance,29399.18
